deal_no,id,title,customer_name,customer_name_english,market_segment,product_model,manufacturer,stage,value,probability,expected_close_date,owner,province,region,health_district,customer_segment,next_followup_on,admin_quote_no,on_ebidding,declared_in_hand,below_stage_prob_note,lost_reason,lost_reason_note
ARN-001,,"บ.แอดวานส์ เมดิคอล เอสธีติค (ประเทศไทย) จำกัด - FBC, ESA715",บ.แอดวานส์ เมดิคอล เอสธีติค (ประเทศไทย) จำกัด,,Distributor Medical Company,"FBC, ESA715",Fluke Biomedical,won,270000,100,30/04/1426,AROONSAWAT,,Bangkok,,New Customer,,TM-251200017,FALSE,TRUE,ลูกค้านำไปใช้กับเครื่องมือเสริมความงาม (กระชับสัดส่วน) เดโม่ไปแล้วมีความสนใจสูงมากกำลังเสนอหัวหน้าระหว่าง712และ715,,
ARN-002,,"บ. เมิร์ซ เฮลธ์แคร์ (ประเทศไทย) จำกัด - FBC, ESA712",บ. เมิร์ซ เฮลธ์แคร์ (ประเทศไทย) จำกัด,,Distributor Medical Company,"FBC, ESA712",Fluke Biomedical,budget_approve,180000,50,,AROONSAWAT,,Bangkok,,New Customer,,TM-251100071,FALSE,FALSE,เป็นลูกค้าเกี่ยวกับเครื่องมือเสริมความงาม รอ Approve PO POคาดได้ว่าไม่เกินวันที่13/03/69 // คนออก Code เพื่อออก PO ลาพักร้อนเลยช้ากว่าที่คาดไว้,,
ARN-003,,"บริษัท คอสมี่ จำกัด - FBC, ESA620",บริษัท คอสมี่ จำกัด,,Distributor Medical Company,"FBC, ESA620",Fluke Biomedical,proposal,,20,,AROONSAWAT,,Bangkok,,New Customer,,,FALSE,FALSE,โทรเข้ามาสอบถามแต่เหมือนจะไม่ค่อยสนใจเท่าไหร่ เหมือนขอไปศึกษา,,
ARN-004,,"บริษัท คอสมี่ จำกัด - FBC, ProSim4 + SPOTLIGHT",บริษัท คอสมี่ จำกัด,,Distributor Medical Company,"FBC, ProSim4 + SPOTLIGHT",Fluke Biomedical,proposal,,20,,AROONSAWAT,,Bangkok,,New Customer,,,FALSE,FALSE,โทรเข้ามาสอบถามแต่เหมือนจะไม่ค่อยสนใจเท่าไหร่ เหมือนขอไปศึกษา,,
ARN-005,,"บริษัท คอสมี่ จำกัด - FBC, IDA1s",บริษัท คอสมี่ จำกัด,,Distributor Medical Company,"FBC, IDA1s",Fluke Biomedical,proposal,,20,,AROONSAWAT,,Bangkok,,New Customer,,,FALSE,FALSE,โทรเข้ามาสอบถามแต่เหมือนจะไม่ค่อยสนใจเท่าไหร่ เหมือนขอไปศึกษา,,
ARN-006,,"บ.เอ็นโอไอ อินสทรูเมนท์ จำกัด - FBC, INCU II",บ.เอ็นโอไอ อินสทรูเมนท์ จำกัด,,Re-seller,"FBC, INCU II",Fluke Biomedical,quote,585000,30,31/05/1426,AROONSAWAT,,Central,,New Customer,,TM-251000090,FALSE,FALSE,ลูกค้าจะนำไปขายต่อรพ.อยุธยา,,
ARN-007,,"รพ.เกษมราษฎร์ อินเตอร์เนชั่นแนล รัตนาธิเบศร์ - FBC, ESA620",รพ.เกษมราษฎร์ อินเตอร์เนชั่นแนล รัตนาธิเบศร์,,Medium Private Hospital,"FBC, ESA620",Fluke Biomedical,lost,300000,30,,AROONSAWAT,,Central,,Existing Customer,,TM-251100073,FALSE,FALSE,ทางคนดูแลศูนย์กลางของการสอบเทียบเครื่องมือแพทย์ของเครือเกษมราษฎร์ใช้Rigel เลยคาดว่าจะไม่ได้ค่ะ,no_budget,
ARN-008,,"บริษัท เอ็มดี เฮลท์แคร์ จํากัด  - FBC, SPOTLight",บริษัท เอ็มดี เฮลท์แคร์ จํากัด ,,Distributor Medical Company,"FBC, SPOTLight",Fluke Biomedical,waiting_deliver,130000,90,31/03/1426,AROONSAWAT,,Central,,Existing Customer,,TM-260200047,FALSE,TRUE,รอสอบเทียบ สสท เสร็จ และนัดส่งเครื่อง // คาดว่า สสท จะมาส่งวันที่ 24/3/69 // นัดส่งเครื่องวันที่ 27/03/69,,
ARN-009,,"Getinge Thailand - FBC, ESA712",Getinge Thailand,Getinge Thailand,OEM,"FBC, ESA712",Fluke Biomedical,quote,170000,30,,AROONSAWAT,,Bangkok,,Existing Customer,,TM-260200079,FALSE,FALSE,รอเสนอเข้าที่ประชุม,,
ARN-010,,"บริษัท นัททัม จำกัด - FBC, ProSim8 + SPOT Module",บริษัท นัททัม จำกัด,,laboratory,"FBC, ProSim8 + SPOT Module",Fluke Biomedical,quote,730000,30,,AROONSAWAT,,Bangkok,,New Customer,,TM-260200082,FALSE,FALSE,คาดว่าจัดซื้อช่วงไตรมาส3,,
ARN-011,,"บริษัท เอสอีไอ เมดิคัล จำกัด (มหาชน) - FBC, ProSim8 + SPOT Module",บริษัท เอสอีไอ เมดิคัล จำกัด (มหาชน),,Distributor Medical Company,"FBC, ProSim8 + SPOT Module",Fluke Biomedical,won,720000,100,31/03/1426,AROONSAWAT,,Bangkok,,New Customer,,TM-250900088,FALSE,TRUE,รอลูกค้าคอนเฟิร์มวันส่งเครื่องและจะเอา 715 ไปDemo // นัดส่งเครื่อง 18/03/69 // ส่งเครื่องวางบิลเรียบร้อยรอรับเช็ค,,
ARN-012,,"รพ.เสนา - FBC, IDA1s",รพ.เสนา,,Medium Hospital,"FBC, IDA1s",Fluke Biomedical,proposal,,20,,AROONSAWAT,,Central,,New Customer,,,FALSE,FALSE,เจอที่งานออกบูธ ศบส.4 ที่อยุธยา มีความสนใจ IDA แต่ก็แค่ขอสเปคไปดูก่อน,,
ARN-013,,รพ.เกษมราษฎร์ อินเตอร์เนชั่นแนล รัตนาธิเบศร์ - Sound Level Meter,รพ.เกษมราษฎร์ อินเตอร์เนชั่นแนล รัตนาธิเบศร์,,Medium Private Hospital,Sound Level Meter,Fluke Biomedical,proposal,,20,,AROONSAWAT,,Central,,Existing Customer,,,FALSE,FALSE,เอาไปวัดห้องตรวจการได้ยิน ทั้งนอก-ในตู้ตรวจการได้ยิน,,
ARN-014,,"Top Aesthetics Corporation Co.,LTD. - FBC, ESA712","Top Aesthetics Corporation Co.,LTD.","Top Aesthetics Corporation Co.,LTD.",Distributor Medical Company,"FBC, ESA712",Fluke Biomedical,quote,,,,AROONSAWAT,,Bangkok,,New Customer,,TM-260300027,FALSE,FALSE,นำไปเทสเครื่องภายในบริษัทและในอนาคตจะรับทดสอบให้ รพ ด้วย,,
ARN-015,,"รพ.สมเด็จพระบรมราชเทวี ณ ศรีราชา - Water bath, DC-1006",รพ.สมเด็จพระบรมราชเทวี ณ ศรีราชา,,Large Hospital,"Water bath, DC-1006",Other,waiting_deliver,120000,90,06/04/1426,AROONSAWAT,,East,,Existing Customer,,TM-250300045,FALSE,TRUE,รอเครื่องมาถึงและจะนัดส่งเลย (มีPM 4 ครั้ง) // เครื่องจัดส่งล่าช้าแจ้งลูกค้าแล้ว ลูกค้าบอกว่าใส่เหตุผลีๆถ้ามีเอกสารปประกอบว่าขนส่งล่าช้าก็แนบมาด้วยเดี๋ยวยื่นเรื่องให้พัสดุ เดี๋ยวทางเขาจะประชุมว่าสามารถเลื่อนวันได้หรือค่าปรับจะเท่าไหร่ มีกรณีเหตุสุดวิสัยที่จะยกเว้นค่าปรับได้แต่ไม่รู้จะครอบคลุมเรื่องของเรามั้ย (คุณนิ้ง),,
